surface_id	kind	current_identity	locations	semantic_owner	history	disposition	compatibility_boundary	retirement_evidence	coordination_owner
product-name	product-prose	APTL → LilRAE (one product across a rename)	README.md; docs/adrs/adr-054-lilrae-core-and-experience-ownership.md; docs/reviews/962-lilrae-readiness/README.md; pyproject.toml	LilRAE product	615d4680 establishes the APTL repository; d48d2b7e records the readiness review; #934 corrects its identity model	correct now for current prose; rename technical identities only through their own rows	none; prose cannot authorize an alias or parallel runtime	current decision prose states identity continuity and every retained APTL literal has an individual disposition	APTL #934; OpenRAE/lilrae#3
adr-054-legacy-locator	historical-record	docs/adrs/adr-054-lilrae-core-and-experience-ownership.md	docs/adrs/adr-054-lilrae-core-and-experience-ownership.md; docs/adrs/README.md; mkdocs.yml	repository governance	c1497e42 introduced the proposed ADR path; d48d2b7e integrated it	retain technical identity as a legacy locator while the proposed title is corrected in place	the filename alone is the compatibility locator; it conveys no architecture	audit incoming links before any later filename retirement and provide a redirect or migration note	APTL #934
github-repository	repository	Brad-Edwards/aptl	pyproject.toml; .ground-control.yaml; release-please-config.json; .github/workflows/; README.md	repository governance	615d4680 is the initial repository history anchor	rename later; no repository move is chosen here	Git remote and published GitHub URLs are the only boundary; no mirrored repository is authorized	destination repository, redirect/archive policy, CI/protection transfer, release provenance, and consumer guidance	OpenRAE/lilrae#3
python-distribution	distribution	aptl-labs	pyproject.toml; .release-please-manifest.json; release-please-config.json; .github/workflows/release-please.yml; hatch_build.py	LilRAE product	8b9174a9 established the published aptl-labs distribution	rename later; retain current published identity	Python package index project identity; no alias distribution is added by #934	released replacement wheel, dependency and SBOM provenance, installed-wheel parity, upgrade guidance, and old-project retirement notice	OpenRAE/lilrae#3; APTL #970
python-import-root	import-root	aptl	pyproject.toml; src/aptl/; tests/; hatch_build.py	LilRAE product	7815b5f4 introduced the Python CLI/package lineage	rename later; retain technical identity	one Python import root; no aptl/lilrae compatibility package or dynamic import fallback	public-import migration plan, downstream import proof, wheel parity, and one bounded compatibility decision	OpenRAE/lilrae#3; APTL #970
primary-cli	cli	aptl	pyproject.toml; src/aptl/cli/main.py; docs/getting-started/; README.md	LilRAE product	7815b5f4 introduced the CLI lineage	rename later; retain command until a released cutover is selected	pyproject.toml project.scripts is the sole command owner; no second CLI is added	released replacement command, human and JSON route parity, shell/documentation migration, and a removal window	OpenRAE/lilrae#3
misp-sync-cli	cli	aptl-misp-suricata-sync	pyproject.toml; src/aptl/services/misp_suricata_sync/; docker-compose.yml; config/suricata/suricata.yaml	TechVault pack integration	Git history is authoritative; first-introduction detail is immaterial to the rename boundary	retain technical identity until the selected TechVault integration is separately packaged or retired	pyproject.toml project.scripts and the Compose service are the only producers/consumers	released integration replacement, TechVault parity, config migration, and removal from generic installation	APTL #880; APTL #970
primary-config-file	config-env	aptl.json	src/aptl/core/config.py; src/aptl/core/assets.py; src/aptl/cli/config.py; aptl.json; docs/deployment.md	LilRAE product	00fe44bd bound the installed-wheel materialization path to the current config filename	rename later; retain strict current identity	AptlConfig and load_config() are the single strict reader; no dual sections or last-one-wins aliases	versioned config migration, strict conflict rejection, installed-project upgrade guidance, and reader retirement window	OpenRAE/lilrae#3; APTL #970
environment-namespace	config-env	APTL_*	src/aptl/core/env.py; src/aptl/core/config.py; src/aptl/utils/redaction.py; docker-compose.yml; .env.example	LilRAE product and selected integrations	Git history is authoritative; individual keys have independent introduction commits	rename later by key family; retain current names and never inventory values	EnvVars, hydrate_dotenv(), load_dotenv(), WebAuthSettings, ServiceConfig.from_env(), and MCP common config remain the readers	per-consumer key inventory, precedence/conflict policy, redaction proof, credential-safe guidance, and removal window	OpenRAE/lilrae#3; APTL #970
mcp-config-contract	config-env	docker-lab-config.json with APTL_* envPrefix values	mcp/aptl-mcp-common/src/config.ts; mcp/*/docker-lab-config.json; src/aptl/core/lab.py; src/aptl/cli/lab_render.py	TechVault pack integrations	Git history is authoritative; first-introduction detail is immaterial to the rename boundary	retain technical identity; any later rename occurs once in the shared loader	mcp/aptl-mcp-common/src/config.ts is the shared runtime loader; the LabConfig interface alone is not validation	fail-closed shared-loader tests, every dependent MCP rebuild, generated-client parity, and explicit conflict behavior	APTL #970; OpenRAE/lilrae#3
raes-backend-target	backend-target	aptl / full-remote-control-plane	src/aptl/backends/identity.py; src/aptl/backends/raes_manifest.py; tests/test_raes_backend.py	LilRAE product	ced66dcc establishes the RAES namespace cutover; later manifest commits retain the target identity	rename later only with a versioned RAES capability and conformance decision	BackendIdentity plus the RAES manifest is the boundary; class names and config providers are not aliases	released target manifest, conformance and native-readback parity, consumer discovery migration, and old-target rejection policy	OpenRAE/lilrae#3; OpenRAE/lilrae#4
scenario-verifier-group	plugin	aptl.scenario_verifiers	src/aptl/validation/scenario_verification.py; src/aptl/validation/scenario_verification_discovery.py; plugins/aptl-techvault-verifier/pyproject.toml	LilRAE product plugin boundary; TechVault implementation	7b21cdbd introduced the scenario-verification plugin seam	retain technical identity pending an exact producer/consumer cutover	the installed entry-point group is the only discovery boundary; config and CLI cannot select imports	released replacement group, installed-distribution provenance, digest compatibility, fail-closed discovery, and plugin migration guidance	APTL #878; APTL #879; OpenRAE/lilrae#3
pack-interaction-group	plugin	aptl.pack_backend_interactions	src/aptl/backends/pack_interaction.py; src/aptl/backends/pack_interaction_discovery.py; plugins/aptl-techvault-pack-interaction/pyproject.toml	LilRAE product plugin boundary; TechVault implementation	ebb4db29 introduced the pack/backend serving-interaction seam	retain technical identity pending an exact producer/consumer cutover	the installed entry-point group is the only discovery boundary; pack data cannot name Python imports	released replacement group, exact pack compatibility, installed-distribution provenance, and old-group rejection policy	APTL #880; OpenRAE/lilrae#3
techvault-plugin-distributions	plugin	aptl-techvault-verifier; aptl-techvault-pack-interaction	plugins/aptl-techvault-verifier/; plugins/aptl-techvault-pack-interaction/; tests/test_scenario_verification_plugin.py; tests/test_pack_backend_interaction.py	TechVault pack	7b21cdbd and ebb4db29 introduced the two installed plugin seams	rename or relocate later with the TechVault pack; not part of a product split	installed distribution plus exact entry-point compatibility metadata	released plugin artifacts, pack/version/digest qualification, install/uninstall guidance, and generic-product independence proof	APTL #878; APTL #879; APTL #880
telemetry-namespace	telemetry	aptl logger, service, and attribute namespaces	src/aptl/utils/logging.py; src/aptl/core/telemetry.py; mcp/aptl-mcp-common/src/telemetry.ts; config/otel/; docker-compose.yml	LilRAE product	Git history is authoritative; telemetry names accumulated across implementation slices	rename later as a versioned observability contract; retain current names	get_logger(), telemetry initialization, and the MCP common telemetry helper are the only writers	dashboard/query migration, dual-read window if required, redaction and cardinality checks, and old-namespace retirement	OpenRAE/lilrae#3; APTL #969
